Record Type,Internal Name,Display Name,Category,Base Class,Spawn Status,NPC Slots,Runtime Slot Overrides,Life Max,Damage,Defense,NPC.boss,Friendly,Town NPC,Rule Method,Rule Weight,Progression,Biome,Depth,Time,Random Gate,Water,Conditions,Source File,Source Line
NPC Spawn Rule,AbandonedStump,Abandoned Stump,Enemies,ModNPC,Natural spawn rules,1,—,500,40,30,No,No,No,SpawnChance,1.3f,Pre-Hardmode + Hardmode + SuperHardmode,General / Custom,Any / condition-defined depth,Day,—,Unspecified,"(Main.dayTime && NPC.CountNPCS(ModContent.NPCType<AbandonedStump>()) < 2 && TileID.Sets.Conversion.Grass[spawnInfo.SpawnTileType] && ((Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY - 5].WallType == WallID.None || Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY - 8].WallType == WallID.None || Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY - 12].WallType == WallID.None) || Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY - 2].WallType == WallID.MudUnsafe) && !(spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson || spawnInfo.Player.ZoneDesert || spawnInfo.Player.ZoneHallow || spawnInfo.Player.ZoneJungle || spawnInfo.Player.ZoneMeteor) && Main.tile[spawnInfo.SpawnTileX + 1, spawnInfo.SpawnTileY].TileType == TileID.Grass && !Main.tile[spawnInfo.SpawnTileX + 1, spawnInfo.SpawnTileY].IsHalfBlock && !Main.tile[spawnInfo.SpawnTileX + 1, spawnInfo.SpawnTileY].RightSlope && Main.tile[spawnInfo.SpawnTileX + 1, spawnInfo.SpawnTileY - 1].TileType != TileID.Grass && Main.tile[spawnInfo.SpawnTileX + 1, spawnInfo.SpawnTileY - 1].TileType != TileID.Dirt && !Main.tile[spawnInfo.SpawnTileX + 1, spawnInfo.SpawnTileY - 1].IsHalfBlock && !Main.tile[spawnInfo.SpawnTileX + 1, spawnInfo.SpawnTileY - 1].LeftSlope && !Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].IsHalfBlock && !Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].RightSlope && !Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].LeftSlope)",NPCs/Enemies/AbandonedStump.cs,80
NPC Spawn Rule,AbandonedStump,Abandoned Stump,Enemies,ModNPC,Natural spawn rules,1,—,500,40,30,No,No,No,SpawnChance,0,Pre-Hardmode + Hardmode + SuperHardmode,General / Custom,Any / condition-defined depth,Day and night / unspecified,—,Unspecified,"(!(Main.dayTime && NPC.CountNPCS(ModContent.NPCType<AbandonedStump>()) < 2 && TileID.Sets.Conversion.Grass[spawnInfo.SpawnTileType] && ((Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY - 5].WallType == WallID.None || Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY - 8].WallType == WallID.None || Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY - 12].WallType == WallID.None) || Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY - 2].WallType == WallID.MudUnsafe) && !(spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson || spawnInfo.Player.ZoneDesert || spawnInfo.Player.ZoneHallow || spawnInfo.Player.ZoneJungle || spawnInfo.Player.ZoneMeteor) && Main.tile[spawnInfo.SpawnTileX + 1, spawnInfo.SpawnTileY].TileType == TileID.Grass && !Main.tile[spawnInfo.SpawnTileX + 1, spawnInfo.SpawnTileY].IsHalfBlock && !Main.tile[spawnInfo.SpawnTileX + 1, spawnInfo.SpawnTileY].RightSlope && Main.tile[spawnInfo.SpawnTileX + 1, spawnInfo.SpawnTileY - 1].TileType != TileID.Grass && Main.tile[spawnInfo.SpawnTileX + 1, spawnInfo.SpawnTileY - 1].TileType != TileID.Dirt && !Main.tile[spawnInfo.SpawnTileX + 1, spawnInfo.SpawnTileY - 1].IsHalfBlock && !Main.tile[spawnInfo.SpawnTileX + 1, spawnInfo.SpawnTileY - 1].LeftSlope && !Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].IsHalfBlock && !Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].RightSlope && !Main.tile[spawnInfo.SpawnTileX, spawnInfo.SpawnTileY].LeftSlope))",NPCs/Enemies/AbandonedStump.cs,82
NPC,AbysmalOolacileSorcerer,Grand Occultist of Oolacile,Bosses,ModNPC,No natural spawn method,10,—,230000,0,80,Yes,No,No,None,—,—,—,—,—,—,—,—,NPCs/Bosses/SuperHardMode/AbysmalOolacileSorcerer.cs,21
NPC,AbysmalOolacileSorcererTEST,Abysmal Oolacile Sorcerer T E S T,Bosses,ModNPC,No natural spawn method,1500f,—,195000,100,75,Yes,No,No,None,—,—,—,—,—,—,—,—,NPCs/Bosses/SuperHardMode/AbysmalOolacileSorcererTEST.cs,24
NPC,AbyssCataclysm,Abyss Cataclysm,Special,ModNPC,No natural spawn method,10,—,300000,—,38,No,No,No,None,—,—,—,—,—,—,—,—,NPCs/Special/AbyssCataclysm.cs,12
NPC,AbyssFracture,Abyss Fracture,Special,ModNPC,No natural spawn method,10,—,300000,—,38,No,No,No,None,—,—,—,—,—,—,—,—,NPCs/Special/AbyssFracture.cs,14
NPC Spawn Rule,AbyssLurker,Abyssal Strider,Enemies,ModNPC,Natural spawn rules,3,—,1600,70,90,No,No,No,SpawnChance,0,Pre-Hardmode + Hardmode + SuperHardmode,General / Custom,Any / condition-defined depth,Day and night / unspecified,—,Unspecified,(spawnInfo.Invasion),NPCs/Enemies/SuperHardMode/AbyssLurker.cs,76
NPC Spawn Rule,AbyssLurker,Abyssal Strider,Enemies,ModNPC,Natural spawn rules,3,—,1600,70,90,No,No,No,SpawnChance,0f,Pre-Hardmode + Hardmode + SuperHardmode,General / Custom,Any / condition-defined depth,Day and night / unspecified,—,Required,(!(spawnInfo.Invasion)) && (spawnInfo.Water),NPCs/Enemies/SuperHardMode/AbyssLurker.cs,79
NPC Spawn Rule,AbyssLurker,Abyssal Strider,Enemies,ModNPC,Natural spawn rules,3,—,1600,70,90,No,No,No,SpawnChance,1,SuperHardmode,Corruption + Crimson,Any / condition-defined depth,Day and night / unspecified,1/10,Excluded,(!(spawnInfo.Invasion)) && (!(spawnInfo.Water)) && (tsorcRevampWorld.SuperHardMode && (spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson) && Main.rand.NextBool(10)),NPCs/Enemies/SuperHardMode/AbyssLurker.cs,81
NPC Spawn Rule,AbyssLurker,Abyssal Strider,Enemies,ModNPC,Natural spawn rules,3,—,1600,70,90,No,No,No,SpawnChance,1,SuperHardmode,Underworld,Underworld,Day and night / unspecified,1/5,Excluded,(!(spawnInfo.Invasion)) && (!(spawnInfo.Water)) && (!(tsorcRevampWorld.SuperHardMode && (spawnInfo.Player.ZoneCorrupt || spawnInfo.Player.ZoneCrimson) && Main.rand.NextBool(10))) && (tsorcRevampWorld.SuperHardMode && spawnInfo.Player.ZoneUnderworldHeight && Main.rand.NextBool(5)),NPCs/Enemies/SuperHardMode/AbyssLurker.cs,83
