Internal name	Display name	Reason
AttraidiesApparition	Attraidies	Explicit spoiler, prototype, boss phase, or helper exclusion
AttraidiesFragment	Attraidies Fragment	Explicit spoiler, prototype, boss phase, or helper exclusion
AttraidiesIllusion	Attraidies Illusion	Explicit spoiler, prototype, boss phase, or helper exclusion
AttraidiesManifestation	Attraidies Manifestation	Explicit spoiler, prototype, boss phase, or helper exclusion
AttraidiesMimic	Attraidies	Explicit spoiler, prototype, boss phase, or helper exclusion
AttraidiesShield	Attraidies Shield	Explicit spoiler, prototype, boss phase, or helper exclusion
BrokenOkiku	Mindflayer Illusion	Explicit spoiler, prototype, boss phase, or helper exclusion
DarkCloudMirror	Dark Cloud Mirror	Hidden from the Bestiary
DarkDragonMask	Attraidies	Explicit spoiler, prototype, boss phase, or helper exclusion
DarkUltimaWeapon	Dark Ultima Weapon	Hidden from the Bestiary
DemonWheel	Demon Wheel	Hidden from the Bestiary
DestroyerLaserProbe	Laser Probe	Explicit spoiler, prototype, boss phase, or helper exclusion
GaibonFireball	Gaibon Fireball	Hidden from the Bestiary
GhostDragonBody	Ghost Wyvern	Worm segment; represented by its head when applicable
GhostDragonBody2	Ghost Wyvern	Worm segment; represented by its head when applicable
GhostDragonBody3	Ghost Wyvern	Worm segment; represented by its head when applicable
GhostDragonHead	Ghost Wyvern	Explicit spoiler, prototype, boss phase, or helper exclusion
GhostDragonLegs	Ghost Wyvern	Worm segment; represented by its head when applicable
GhostDragonTail	Ghost Wyvern	Worm segment; represented by its head when applicable
HellkiteDragonBody	Hellkite Dragon	Worm segment; represented by its head when applicable
HellkiteDragonBody2	Hellkite Dragon	Worm segment; represented by its head when applicable
HellkiteDragonBody3	Hellkite Dragon	Worm segment; represented by its head when applicable
HellkiteDragonLegs	Hellkite Dragon	Worm segment; represented by its head when applicable
HellkiteDragonTail	Hellkite Dragon	Worm segment; represented by its head when applicable
JungleWyvernBody	Ancient Jungle Wyvern	Worm segment; represented by its head when applicable
JungleWyvernBody2	Ancient Jungle Wyvern	Worm segment; represented by its head when applicable
JungleWyvernBody3	Ancient Jungle Wyvern	Worm segment; represented by its head when applicable
